Country,Name,Q1,Q2,Q3,Q4,Q5,Q6
PAR,PAR4,5,0,-1,1,1,0
POR,POR1,7,0,-1,0,0,0
POR,POR3,7,0,0,0,-1,0
POR,POR5,2,1,2,2,0,-1
POR,POR6,-1,0,0,7,0,0
PRI,PRI3,6,0,0,0,1,-1
RWA,RWA1,-1,0,0,7,0,0
RWA,RWA2,7,-1,0,0,0,0
RWA,RWA4,7,0,-1,0,0,0
RWA,RWA5,7,0,0,0,0,-1
SVN,SVN3,7,0,0,-1,0,0
TTO,TTO1,7,0,0,-1,0,0
TTO,TTO2,3,0,-1,4,0,0
URY,URY1,7,0,0,-1,0,0
URY,URY5,-1,0,0,7,0,0
ALG,ALG5,-1,1,0,7,0,0
AZE,AZE1,7,1,-1,0,0,0
AZE,AZE4,7,-1,0,1,0,0
AZE,AZE6,7,1,0,-1,0,0
BEL,BEL5,7,0,0,1,0,-1
BOL,BOL2,7,0,-1,1,0,0
CRI,CRI1,-1,1,0,7,0,0
CRI,CRI5,1,0,0,7,-1,0
CYP,CYP6,1,0,0,7,-1,0
ESP,ESP5,6,1,0,1,0,-1
EST,EST4,1,-1,0,7,0,0
KSV,KSV1,7,0,0,-1,1,0
KSV,KSV2,7,-1,0,1,0,0
LKA,LKA6,7,1,0,0,-1,0
LUX,LUX3,7,0,0,-1,1,0
LUX,LUX6,7,0,0,1,-1,0
LVA,LVA3,7,1,0,-1,0,0
MEX,MEX5,6,1,0,-1,1,0
MKD,MKD3,-1,1,0,7,0,0
PER,PER1,-1,7,0,0,1,0
PHI,PHI2,7,1,0,-1,0,0
PRI,PRI1,7,0,0,1,-1,0
SUI,SUI2,-1,1,0,7,0,0
SYR,SYR3,7,1,-1,0,0,0
TJK,TJK1,-1,2,0,5,1,0
TJK,TJK3,6,2,0,-1,0,0
UGA,UGA2,7,-1,0,1,0,0
ALG,ALG1,1,-1,0,7,1,0
ALG,ALG4,6,2,0,1,-1,0
ARG,ARG3,7,2,0,-1,0,0
AUS,AUS2,2,-1,0,7,0,0
COL,COL5,1,1,0,7,-1,0
CYP,CYP4,7,-1,0,2,0,0
CYP,CYP5,2,0,0,7,0,-1
DEN,DEN4,7,2,0,-1,0,0
ESP,ESP1,-1,7,0,1,0,1
GEO,GEO4,7,2,0,-1,0,0
HEL,HEL4,-1,2,0,7,0,0
IRL,IRL1,7,2,0,-1,0,0
IRQ,IRQ1,7,2,0,-1,0,0
ISL,ISL6,-1,0,0,2,7,0
KAZ,KAZ6,2,0,-1,7,0,0
LTU,LTU4,-1,0,0,2,7,0
MDA,MDA2,-1,0,1,7,1,0
MMR,MMR3,2,0,0,7,-1,0
NIC,NIC1,7,1,0,-1,1,0
NLD,NLD3,-1,1,0,7,1,0
NOR,NOR2,7,2,0,-1,0,0
PHI,PHI6,-1,2,0,7,0,0
POR,POR4,7,-1,0,2,0,0
SRB,SRB5,7,2,0,-1,0,0
SUI,SUI5,7,2,0,-1,0,0
SVK,SVK2,-1,2,0,0,7,0
SYR,SYR2,7,2,0,-1,0,0
ALB,ALB3,3,0,-1,7,0,0
ARM,ARM4,-1,2,1,7,0,0
AUS,AUS5,7,2,0,-1,1,0
AZE,AZE2,1,2,0,7,0,-1
BGD,BGD4,3,0,-1,7,0,0
BOL,BOL1,-1,2,0,7,0,1
ESP,ESP3,7,2,0,1,-1,0
FIN,FIN4,-1,2,0,2,6,0
FIN,FIN5,7,2,-1,1,0,0
HRV,HRV3,6,3,0,-1,0,1
IRN,IRN1,-1,1,1,7,0,1
KGZ,KGZ6,1,2,0,7,-1,0
KSV,KSV3,7,0,-1,3,0,0
KSV,KSV4,1,2,0,7,-1,0
LVA,LVA6,3,0,0,7,0,-1
NLD,NLD5,7,-1,0,2,1,0
NOR,NOR6,-1,3,0,7,0,0
PAK,PAK2,6,-1,0,4,0,0
PAN,PAN1,3,0,-1,7,0,0
PAR,PAR2,3,0,0,7,-1,0
SAU,SAU2,-1,2,0,7,1,0
SLV,SLV1,3,-1,0,7,0,0
SVN,SVN6,-1,2,0,7,0,1
THA,THA6,-1,3,0,7,0,0
